Client 10,file1m3.txt,220,252,488,227,443,
Client 118,file1m3.txt,1989,940,1079,13,1182,
Client 137,file1m3.txt,1294,975,709,598,296,
Client 146,file1m3.txt,28,9,26,658,38,
Client 25,file1m3.txt,18,39,34,28,32,
Client 70,file1m3.txt,2664,1363,772,723,1369,
Client 83,file1m3.txt,1918,31,218,33,744,
Client 11,file1m4.txt,9,270,205,229,257,
Client 16,file1m4.txt,442,10,359,33,611,
Client 82,file1m4.txt,1690,752,120,743,1525,
Client 102,file1m5.txt,765,737,729,749,789,
Client 113,file1m5.txt,1833,627,39,24,983,
Client 59,file1m5.txt,2389,817,782,1343,743,
Client 6,file1m5.txt,231,244,272,199,201,
Client 94,file1m5.txt,768,743,1173,748,2436,
Client 2,file200k1.txt,180,145,158,131,175,
Client 22,file200k1.txt,130,19,21,30,132,
Client 44,file200k1.txt,539,493,526,556,15,
Client 62,file200k1.txt,3757,282,15,289,260,
Client 77,file200k1.txt,860,688,1182,1191,1241,
Client 88,file200k1.txt,574,8,14,15,1324,
Client 115,file200k2.txt,1968,961,1163,1312,1243,
Client 117,file200k2.txt,2003,1040,1198,144,1363,
Client 148,file200k2.txt,701,693,687,728,699,
Client 101,file200k3.txt,1224,704,695,673,708,
Client 127,file200k3.txt,651,715,704,682,666,
Client 47,file200k3.txt,3874,693,671,679,884,
Client 99,file200k3.txt,1755,1201,721,1270,1217,
Client 100,file200k4.txt,1083,680,726,728,762,
Client 42,file200k4.txt,682,681,1050,697,1081,
Client 65,file200k4.txt,667,697,723,688,1378,
Client 129,file200k5.txt,2401,867,685,743,818,
Client 132,file200k5.txt,705,1221,1172,1142,1177,
Client 66,file200k5.txt,687,690,722,698,684,
Client 81,file200k5.txt,938,685,1380,679,1885,
Client 125,file350k1.txt,60,21,339,19,512,
Client 28,file350k1.txt,205,203,192,185,160,
Client 53,file350k1.txt,4,21,5,20,19,
Client 96,file350k1.txt,20,18,144,19,675,
Client 138,file350k2.txt,976,698,339,246,551,
Client 149,file350k2.txt,10,19,19,5,19,
Client 43,file350k2.txt,701,728,705,1302,1500,
